team1,score1,score2,team2,players,date
Spacefleet,104,4,우주미아,15,2022/04/19
battlesquadron,34,13,Knights Ronin,5,2022/04/19
Embers Rising,72,6,Das Imperium,15,2022/04/19
OntarioDynasty,75,193,DadCorp,10,2022/04/18
Furyan Corps.,48,136,Hinterm Mond,5,2022/04/18
Astra Ultima,12,39,Guardia Oscura,15,2022/04/17
Sith Empire,221,35,KARI,15,2022/04/17
Orion,121,30,FreeSpcAlliance,5,2022/04/17
Nearland Ind,255,228,Austria,15,2022/04/17
pirates spatial,27,117,Likapa,10,2022/04/17
pirates spatial,22,192,Widow Makers,10,2022/04/17
Imperium XIII,66,20,Star Fox,5,2022/04/16
DTC,98,88,MAQUIS,15,2022/04/16
Anla'Shok,180,52,Dreckiger Rest,15,2022/04/16
Team Elite,92,140,Greener Pastures,10,2022/04/16
StarControl,66,21,Gummibarenbande,5,2022/04/16
Lexx,90,17,CbrtbleHeroAhnkn,10,2022/04/16
$TAR$,161,66,Cnythnk,15,2022/04/16
Spacecrevards,118,12,Terranova,15,2022/04/16
Black Mirror Co,103,99,Solysis,15,2022/04/15
Grunthal Gang,236,77,Elite Penguins,15,2022/04/15
Weyland Corp,56,54,Ender,10,2022/04/15
Star Fall,51,11,海賊ギルド,5,2022/04/15
Red Dawn,64,4,Knights Ronin,5,2022/04/15
Guardians,38,11,CbrtbleHeroAhnkn,10,2022/04/14
Spacefleet,289,3,华夏星海,15,2022/04/13
Embers Rising,113,21,Rogue Corp,15,2022/04/13
Red Dawn,64,4,Knights Ronin,5,2022/04/12
Ark Summit,154,71,BattleCo,15,2022/04/12
Bounty Hunters,173,34,YETI Collective,15,2022/04/12
Metal Nova,49,2,SALTARDIS,10,2022/04/11
Lexx,41,1,Sprite,10,2022/04/11
Nearland Ind,247,39,ANZAC Warriors,15,2022/04/11
Anla'Shok,87,76,Internationals,15,2022/04/10
Orion,70,9,Red Coat Mafia,5,2022/04/10
OntarioDynasty,52,199,Spacecrevards,10,2022/04/10
$TAR$,64,75,Kpanhnn Kocmoc,15,2022/04/10
Sith Empire,69,218,Hinterm Mond,10,2022/04/10
Team Elite,73,67,Rocinante,10,2022/04/09
Kharon Shipping,200,126,ENFORCERS,10,2022/04/09
StarControl,100,0,龙门训练营,5,2022/04/09
StarControl,253,159,Legion,15,2022/04/09
T E H b,80,38,DTC,10,2022/04/08
Void Consortium,218,74,DTC,15,2022/04/08
Grunthal Gang,205,21,JTPS,10,2022/04/08
Dumpster Fire,12,24,ROGUE ONE,10,2022/04/07
EradicatorElite,126,30,KARI,10,2022/04/07
Weyland Corp,184,0,TGY Inc.,10,2022/04/07
Anla'Shok,215,0,The trade pub,15,2022/04/06
Metal Nova,75,2,Das Imperium,10,2022/04/06
Lexx,30,1,ROGUE ONE,10,2022/04/06
Embers Rising,111,30,第一序列,15,2022/04/06
Bounty Hunters,127,76,The Picard,10,2022/04/06
Spacefleet,41,83,Pandora's Star,10,2022/04/05
Star Fall,87,77,Karanth,5,2022/04/05
Team Elite,134,2,Urban Legends,5,2022/04/03
Orion,13,108,Widow Makers,10,2022/04/03
Nearland Ind,184,160,Rising star,15,2022/04/03
Spacecrevards,223,26,Watchers,10,2022/04/03
OntarioDynasty,174,38,Sith Empire,10,2022/04/03
$TAR$,134,86,Starsailors,15,2022/04/03
Hinterm Mond,257,55,Terranova,15,2022/04/03
pirates spatial,203,36,Rocket-Babies,15,2022/04/03
DTC,118,91,MAQUIS,15,2022/04/02
Auscorp,139,57,Final,15,2022/04/02
Tartaros Armada,98,284,Galactic Empire,15,2022/04/02
Tartaros Armada,144,30,Elite,10,2022/04/02
StarControl,191,51,Obsidian,15,2022/04/02
Kharon Shipping,232,61,Yishun CC,10,2022/04/02
DTC,30,0,Glashan,5,2022/04/01
Anla'Shok,190,13,ITA,15,2022/04/01
Lexx,36,7,2nd Squad,10,2022/04/01
Ark Summit,75,3,77=49,15,2022/03/31
Metal Nova,85,18,Federation,10,2022/03/31
Ender,231,0,KARI,10,2022/03/31
Weyland Corp,79,160,Grunthal Gang,10,2022/03/31
EradicatorElite,7,21,海賊ギルド,5,2022/03/30
EradicatorElite,54,14,PHOENIX,5,2022/03/30
Embers Rising,137,28,I.N.D.I.G.O,15,2022/03/30
Bounty Hunters,142,14,PocKocMoc,10,2022/03/29
Spacefleet,211,19,Star Jumpers,15,2022/03/28
Sith Empire,136,110,Salamanders,10,2022/03/28
Team Elite,39,15,GermanIndustrie,5,2022/03/28
Astra Ultima,20,170,Void,15,2022/03/28
Team Elite,39,15,GermanIndustrie,5,2022/03/28
Karanth,168,76,DadCorp,10,2022/03/27
Imperium XIII,102,8,Abh,5,2022/03/27
Anla'Shok,214,15,WFOS,15,2022/03/27
Bastion,15,28,MAPCIOKN,5,2022/03/27
Legion,127,0,DUNE,5,2022/03/27
Hinterm Mond,252,59,Watchers,10,2022/03/27
LIETUVA,51,22,pirates spatial,5,2022/03/27
pirates spatial,51,69,Polaris Corp.,10,2022/03/27
Spacecrevards,138,62,Space Marine,10,2022/03/27
Black Mirror Co,97,26,Space Pirate,10,2022/03/26
Weyland Corp,87,47,Star-Jump CORPS,10,2022/03/26
$TAR$,151,37,Death Flight,15,2022/03/26
StarControl,56,13,ГОРИЗОНТ,5,2022/03/26
Kharon Shipping,148,17,ГОРИЗОНТ,5,2022/03/26
Anla'Shok,214,15,WFOS,15,2022/03/26
Orion,41,34,Anarchy,5,2022/03/26
Nearland Ind,237,0,星呢月球,15,2022/03/26
Terranova,193,25,United Galaxies,15,2022/03/26
the heavy,87,104,Greener Pastures,10,2022/03/26
Star Fall,95,63,The Time Lords,5,2022/03/26
Void Consortium,291,64,JTPS,15,2022/03/25
StarControl,72,37,Furyan Corps.,5,2022/03/25
Metal Nova,12,71,ANBEPCAHTbl,10,2022/03/25
Grunthal Gang,46,242,ENFORCERS,15,2022/03/25
Lexx,22,0,우주미아,10,2022/03/25
Team Elite,36,8,R.S.F.,5,2022/03/23
Ark Summit,61,35,Embers Rising,10,2022/03/23
Spacefleet,74,56,Italian Stars,15,2022/03/22
Anla'Shok,236,4,Farming Inc.,15,2022/03/22
EradicatorElite,61,37,Gulinga,5,2022/03/22
pirates spatial,122,8,FreeSpcAlliance,10,2022/03/21
龙门训练营,0,277,Hinterm Mond,5,2022/03/21
Anla'Shok,236,4,Farming Inc.,15,2022/03/21
Auscorp,255,36,Rocket-by Baby,15,2022/03/20
Auscorp,61,41,Black Solaris,5,2022/03/20
Bastion,19,38,White Solaris,5,2022/03/20
Weyland Corp,63,70,Urban Legends,10,2022/03/20
Nearland Ind,24,102,Cnythnk,15,2022/03/20
Lexx,11,8,Kpanhnn Kocmoc,5,2022/03/20
Lexx,10,0,Discordia,5,2022/03/20
Corp Du Jour,20,28,pirates spatial,5,2022/03/19
Unimatrix Zero,92,113,POCCNR,10,2022/03/19
$TAR$,121,141,Rising star,15,2022/03/19
StarControl,177,120,ENFORCERS,15,2022/03/19
Metal Nova,68,6,Bo3poxaehne,10,2022/03/19
Terranova,76,130,Soylent Corp.,15,2022/03/19
Anla'Shok,26,6,Crazy Elite,15,2022/03/17
Team Elite,122,0,Argentina 1.0,5,2022/03/17
Grunthal Gang,222,33,VoidCorp,15,2022/03/17
