team1,score1,score2,team2,players,date
DUNE,27,14,PocKocMoc,5,2021/05/02
Team Elite,60,12,Stalkers' Zone,5,2021/05/02
Wintercomes,8,61,USSR,10,2021/05/02
Nebula,2,141,Corvus Ind.,15,2021/05/02
Watchers,171,11,Españoles,15,2021/05/02
Serenity,57,92,Enigma,15,2021/05/02
M4-Legends,157,21,Swiss Chillers,15,2021/05/02
Tormenta,195,26,Sith Empire,15,2021/05/02
Unimatrix Zero,66,37,Star Fall,5,2021/05/01
Bastion,3,23,Abanoh,5,2021/05/01
Kharon Shipping,125,11,Soylent Corp.,10,2021/05/01
Imperium XIII,45,1,M3K,5,2021/05/01
HORNET,110,26,Farland Ind.,10,2021/05/01
HORNET,141,14,Unimatrix Zero,10,2021/05/01
Yishun CC,131,3,The Black Bulls,15,2021/04/30
Yishun CC,27,40,Polaris,5,2021/04/30
$TAR$,11,1,Stargate Corp,5,2021/04/30
BlackStar Order,604,0,Legion Estelar,15,2021/04/30
Black Sun,84,14,GermanSpaceUno.,10,2021/04/30
Black Sun,104,81,TPYNRNR,15,2021/04/30
Karanth,59,46,POCCNR,10,2021/04/30
Karanth,40,51,Watchers,5,2021/04/30
Dark Skai,26,65,Prosperity,15,2021/04/28
Rise Up,66,1,Green Alliance,5,2021/04/28
Sith Empire,5,52,TheSpacingGuild,10,2021/04/27
StarControl,115,3,BattleCo,10,2021/04/27
Auscorp,105,102,Final,10,2021/04/26
NERF,113,0,White Solaris,10,2021/04/26
Tacitus,74,24,Abh,10,2021/04/26
OntarioDynasty,138,31,Kyлak,15,2021/04/25
ГОРИЗОНТ,121,47,The Time Lords,10,2021/04/25
Legion,68,53,DadCorp,10,2021/04/25
Order of Hades,58,6,SNSS,15,2021/04/25
Unimatrix Zero,19,6,Hades Corpo,5,2021/04/24
Unimatrix Zero,24,18,Gummibarenbande,5,2021/04/24
BlackStar Order,336,24,Ender,15,2021/04/24
TPYNRNR,154,61,Bastion,15,2021/04/24
HORNET,191,56,Wintercomes,10,2021/04/24
ГОРИЗОНТ,121,47,The Time Lords,10,2021/04/24
DUNE,39,15,T E H b,5,2021/04/24
Space Oddity,71,40,Flight and War,10,2021/04/24
Terranova,18,83,DUNE,10,2021/04/24
Watchers,52,28,ГОРИЗОНТ,5,2021/04/24
Karanth,194,42,Gulinga,5,2021/04/23
Imperium XIII,33,16,Ritter der Nuss,5,2021/04/23
Black Sun,1,46,NOVA,10,2021/04/23
Black Sun,17,78,Yishun CC,15,2021/04/23
Kharon Shipping,222,38,Black Solaris,10,2021/04/23
H3LL FLAY3RS,140,8,Nebula,15,2021/04/22
TGY Inc.,11,86,KARI,15,2021/04/20
Furyan Corps.,65,15,Grunthal Gang,15,2021/04/20
$TAR$,29,212,Internationals,15,2021/04/20
Dark Skai,113,9,Polaris Corp.,15,2021/04/20
Order of Hades,43,22,United Galaxies,15,2021/04/19
OntarioDynasty,100,32,Ender,15,2021/04/19
HORNET,50,32,The Time Lords,5,2021/04/19
HORNET,48,71,Hinterm Mond,5,2021/04/19
Spacecrevards,156,9,Crazy Elite,10,2021/04/19
Yishun CC,334,0,龙冂训练营,15,2021/04/18
BKC,25,8,Soul System,5,2021/04/18
Españoles,10,84,InfamousExiles,15,2021/04/18
Final,75,49,Watchers,15,2021/04/18
DUNE,116,13,The Asylum,10,2021/04/18
DUNE,51,17,Battlestar FR,10,2021/04/18
StarControl,63,40,System Shock,5,2021/04/18
Black Sun,115,6,Terranova,15,2021/04/18
BlackStar Order,177,57,DadCorp,15,2021/04/18
Auscorp,59,5,ГОРИЗОНТ,10,2021/04/18
Tacitus,207,42,지고 받자,15,2021/04/18
Imperium XIII,91,24,COЮЗ,10,2021/04/17
Polish Pirates,10,50,Avengers,15,2021/04/17
Wintercomes,27,130,Austria,15,2021/04/17
Black Sun,6,17,STAR TERROR CZ,10,2021/04/17
Space Oddity,94,22,Foreshadowing,15,2021/04/17
Yishun CC,15,27,Team Elite,5,2021/04/13
Yishun CC,135,14,SNSS,15,2021/04/13
Dark Skai,122,27,星䂓地㺷,15,2021/04/13
OntarioDynasty,145,49,W.O.A,15,2021/04/12
Ender,65,49,Watchers,15,2021/04/12
StarControl,36,65,Hinterm Mond,5,2021/04/12
Auscorp,105,4,NuevaFederacion,10,2021/04/11
USSR,20,9,Black Sun,10,2021/04/11
$TAR$,119,75,No Orbit,15,2021/04/11
The Time Lords,0,64,Unimatrix Zero,10,2021/04/11
Unimatrix Zero,17,172,G.M.U.,10,2021/04/10
Kharon Shipping,167,4,POCCNR,10,2021/04/10
HORNET,64,50,DarkMoon,15,2021/04/10
$TAR$,119,75,No Orbit,15,2021/04/10
DUNE,17,12,Nooooobs,5,2021/04/10
DUNE,123,5,Hydra,10,2021/04/10
BKC,63,60,Abanoh,5,2021/04/09
Wintercomes,60,98,DadCorp,15,2021/04/09
Black Sun,108,5,Topговая Федерация,15,2021/04/09
Imperium XIII,18,30,NoweUkladyll,5,2021/04/08
Yishun CC,21,53,EradicatorElite,5,2021/04/07
Yishun CC,155,10,United Galaxies,15,2021/04/07
Ender,53,31,KLM,15,2021/04/06
DUNE,67,22,Spacecrevards,10,2021/04/06
OntarioDynasty,400,0,龙门训练营,15,2021/04/06
Dark Skai,7,152,Ark Summit,15,2021/04/06
UFP,22,30,Rise Up,10,2021/04/06
Final,54,145,Bastion,15,2021/04/05
System Shock,28,62,Karanth,5,2021/04/05
Avabel Online,5,19,Regulus,10,2021/04/05
Hinterm Mond,89,64,The Time Lords,10,2021/04/05
StarControl,43,27,The Time Lords,5,2021/04/05
Hades Corpo,200,0,Españoles,10,2021/04/04
Sith Empire,69,14,Serenity,15,2021/04/04
ГОРИЗОНТ,6,30,LOST PIRATES,10,2021/04/04
BlackStar Order,363,35,HORNET,15,2021/04/04
Order of Hades,82,38,Sternenflotte,15,2021/04/03
Auscorp,39,79,DadCorp,15,2021/04/03
Imperium XIII,66,21,The X-Files,5,2021/04/03
Wintercomes,123,17,Created,15,2021/04/03
Black Sun,54,12,United Galaxies,15,2021/04/03
Black Sun,68,239,Kharon Shipping,10,2021/04/03
Space Oddity,81,49,Starsailors,15,2021/04/03
NERF,53,2,OntarioDominion,5,2021/04/02
Yishun CC,143,2,Topговая Федерация,15,2021/04/02
Yishun CC,19,4,Lacuna Ind.,5,2021/04/02
Unimatrix Zero,113,30,The Star League,10,2021/04/02
Rise Up,28,6,Acгapд,5,2021/04/01
H3LL FLAY3RS,89,15,NERF TOY'S,5,2021/04/01
Ender,35,135,InfamousExiles,15,2021/03/31
Dark Skai,85,60,The First Order,15,2021/03/30
$TAR$,57,40,Covenant,10,2021/03/29
Avabel Online,76,1,Core Infliction,10,2021/03/29
Españoles,35,149,Polaris,15,2021/03/29
Final,40,74,DadCorp,15,2021/03/29
Hades Corpo,39,41,StarControl,5,2021/03/29
OntarioDynasty,137,37,Furyan Corps.,15,2021/03/29
W.O.A,101,40,TPYNRNR,15,2021/03/29
Watchers,1,0,KARI,15,2021/03/29
BKC,60,2,FAIR,10,2021/03/29
BRhue,353,7,Order of Hades,15,2021/03/28
Sith Empire,132,70,Canadian Army,15,2021/03/28
NERF,5,17,Yishun CC,5,2021/03/27
Bastion,20,10,AlSounT,5,2021/03/27
BlackStar Order,159,150,Hinterm Mond,15,2021/03/27
DUNE,107,23,M4-Legends,10,2021/03/27
DUNE,30,1,Балтийский флот,5,2021/03/27
Terranova,27,58,Yishun CC,15,2021/03/27
Space Oddity,117,58,Red Coat Mafia,15,2021/03/27
Ritter der Nuss,9,3,Imperium XIII,5,2021/03/26
COЮЗ,0,80,NOVA,10,2021/03/26
Ender,206,17,G.M.U.,15,2021/03/26
Kharon Shipping,143,80,Unimatrix Zero,10,2021/03/26
Legion,475,2,Spacecrevards,15,2021/03/26
Wintercomes,32,167,HORNET,15,2021/03/26
Karanth,133,0,Avantgarde,5,2021/03/25
Dark Skai,108,67,Alpha Nation,15,2021/03/24
Farland Ind.,165,10,JTPS,10,2021/03/24
Final,108,3,UAGC,15,2021/03/24
Path of Hades,11,60,WFOS,15,2021/03/24
Wacky Wabbits,84,141,Galaxia,15,2021/03/24
Elite,28,0,HORNET,5,2021/03/23
BKC,99,7,지고 받자,5,2021/03/23
StarControl,38,27,Hinterm Mond,5,2021/03/22
BlackStar Order,207,35,OntarioDynasty,15,2021/03/22
Imperial Armada,25,79,Ancient Library,15,2021/03/22
Kharon Shipping,419,11,OntarioDominion,10,2021/03/22
DadCorp,97,6,G.M.U.,15,2021/03/22
Pulsar,12,1,W.O.A,5,2021/03/22
$TAR$,93,0,Free Thinkers 2,10,2021/03/21
HORNET,166,22,SNSS,15,2021/03/21
Order of Hades,67,26,Ahamkara,15,2021/03/21
Spacecrevards,241,76,Tormenta,15,2021/03/21
Terranova,104,26,Kyлak,15,2021/03/21
Auscorp,58,44,Watchers,10,2021/03/20
DUNE,103,6,Kyлak,10,2021/03/20
DUNE,64,5,Collective,5,2021/03/20
Hades Corpo,78,20,System Shock,5,2021/03/20
Legion,218,1,InfamousExiles,10,2021/03/20
Unimatrix Zero,75,52,POCCNR,10,2021/03/20
ГОРИЗОНТ,146,55,Wintercomes,15,2021/03/20
Ender,151,32,VoidCorp,15,2021/03/19
Imperium XIII,39,0,ГОРИЗОНТ,5,2021/03/19
Polaris,163,98,Stargate Corp,15,2021/03/18
Dark Skai,29,15,KLM,15,2021/03/17
DUNE,1,6,Sternenwanderer,5,2021/03/17
Imperial Armada,25,89,Embers Rising,15,2021/03/17
H3LL FLAY3RS,68,5,Sektion 31,10,2021/03/17
Avabel Online,121,1,HИФИГACEБ,15,2021/03/16
DadCorp,9,27,Watchers,5,2021/03/16
DUNE,111,10,Anla'Shok,10,2021/03/16
Rise Up,34,7,Quilliance,5,2021/03/16
Final,205,17,OntarioDynasty,10,2021/03/15
BlackStar Order,582,0,龙冂训练营,15,2021/03/15
DadCorp,72,13,The Time Lords,10,2021/03/15
Sith Empire,128,78,The First Order,15,2021/03/15
OntarioDominion,37,28,Order of Hades,10,2021/03/14
Order of Hades,112,12,W.O.A,15,2021/03/14
Terranova,34,46,StarControl,5,2021/03/14
Spacecrevards,137,49,The Star League,10,2021/03/13
$TAR$,82,21,CnGR,10,2021/03/13
Imperium XIII,64,51,Гaлaктикa Элa,10,2021/03/13
JTPS,33,21,Black Solaris,10,2021/03/12
InfamousExiles,88,4,Bastion,15,2021/03/12
HORNET,185,40,Serenity,15,2021/03/12
BRhue,221,10,Hydra,15,2021/03/12
UAGC,15,1,Russian Team,5,2021/03/12
Karanth,29,30,NERF,5,2021/03/12
Kharon Shipping,204,31,nebulous,10,2021/03/12
Wintercomes,149,18,Kyлak,15,2021/03/12
Legion,176,50,System Shock,10,2021/03/12
Unimatrix Zero,18,46,Hades Corpo,5,2021/03/12
VoidCorp,72,72,TPYNRNR,15,2021/03/11
WFOS,38,127,Stargate Corp,15,2021/03/11
Karanth,154,15,Farland Ind.,5,2021/03/11
Dark Skai,100,22,Delta Nation,15,2021/03/10
DUNE,14,7,Dansk,5,2021/03/10
Final,76,102,Yishun CC,15,2021/03/10
H3LL FLAY3RS,68,4,OPA,5,2021/03/10
The Time Lords,9,5,Rise Up,5,2021/03/09
Ender,171,28,The Black Bulls,15,2021/03/08
Imperial Armada,128,1,Das Imperium,15,2021/03/08
StarControl,44,19,The Herd,5,2021/03/08
BlackStar Order,88,71,Watchers,15,2021/03/07
Sith Empire,128,51,W.O.A,15,2021/03/07
Hinterm Mond,140,23,The Time Lords,10,2021/03/07
Order of Hades,165,26,Hipernova,15,2021/03/07
Greener Pastures,10,56,Russian Team,5,2021/03/06
InfamousExiles,10,9,Hades Corpo,5,2021/03/06
InfamousExiles,54,25,POCCNR,10,2021/03/06
Unimatrix Zero,307,9,Hydra,15,2021/03/06
System Shock,119,31,DUNE,10,2021/03/06
Auscorp,131,2,UAGC,15,2021/03/06
Terranova,275,57,Space Penguins,15,2021/03/06
$TAR$,70,50,The Goonies,10,2021/03/06
Imperium XIII,80,16,The X-Files,5,2021/03/06
Wintercomes,138,63,Unimatrix Zero,15,2021/03/06
Spacecrevards,1,80,DadCorp,15,2021/03/05
SNSS,11,190,HORNET,15,2021/03/05
BRhue,214,51,Austria,15,2021/03/05
Kharon Shipping,161,32,Karanth,10,2021/03/05
DUNE,28,6,Titan Basecamp,5,2021/03/05
DUNE,34,3,Trade Systems,5,2021/03/05
Greener Pastures,48,59,Urban Legends,5,2021/03/04
KARI,104,81,WFOS,15,2021/03/04
Society of Sin,110,83,Wacky Wabbits,15,2021/03/04
Kyлak,200,72,VoidCorp,15,2021/03/04
Imperial Armada,18,7,Saltarrocas,10,2021/03/03
Final,121,88,Ender,15,2021/03/03
Dark Skai,7,207,MAPCIOKN,15,2021/03/03
Rise Up,121,4,Das Imperium,15,2021/03/03
H3LL FLAY3RS,52,0,space rats,5,2021/03/03
Salamanders,35,111,OntarioDynasty,15,2021/03/02
BlackStar Order,503,0,星舰地球,15,2021/03/02
W.O.A,28,20,GDZ,15,2021/03/01
OntarioDynasty,70,19,ГОРИЗОНТ,5,2021/03/01
Terranova,125,153,Urban Legends,15,2021/02/28
InfamousExiles,23,45,Yishun CC,15,2021/02/28
InfamousExiles,28,12,Yishun CC,5,2021/02/28
Final,253,12,Society of Sin,15,2021/02/28
Trade Station,83,29,Soylent Corp.,10,2021/02/28
StarControl,38,80,For Ever HWI,5,2021/02/28
Kharon Shipping,334,15,POCCNR,10,2021/02/27
Wintercomes,142,47,Hydra,15,2021/02/27
Auscorp,138,23,Octoberpierynm,15,2021/02/27
Hinterm Mond,235,1,DadCorp,15,2021/02/27
Order of Hades,190,18,Rocket-by Baby,15,2021/02/27
Legion,132,34,Hades Corpo,10,2021/02/27
$TAR$,31,28,Sky Walkers,10,2021/02/27
Imperium XIII,30,17,Elite,5,2021/02/27
The Asylum,34,55,Unimatrix Zero,10,2021/02/27
System Shock,47,77,RUS,15,2021/02/26
NERF,25,18,Grummibarenbande,5,2021/02/26
Unimatrix Zero,112,97,Spacecrevards,15,2021/02/26
Ender,189,62,VoidCorp,15,2021/02/25
DadCorp,37,38,The Time Lords,5,2021/02/24
DadCorp,50,30,Watchers,10,2021/02/24
Dark Skai,19,7,G.M.U.,15,2021/02/24
Rise Up,52,1,Domus,5,2021/02/24
BlackStar Order,516,2,Orion,15,2021/02/23
HORNET,121,193,Furyan Corps.,15,2021/02/22
W.O.A,104,126,Wacky Wabbits,15,2021/02/22
InfamousExiles,97,82,OntarioDynasty,15,2021/02/21
Auscorp,111,10,Españoles,10,2021/02/21
Order of Hades,186,45,Octoberpierynm,15,2021/02/21
Ender,173,100,Terranova,15,2021/02/21
NERF,15,108,Sternenflotte,5,2021/02/20
Wintercomes,20,133,Kyлak,15,2021/02/20
Final,183,35,Space Penguins,15,2021/02/20
Unimatrix Zero,272,23,Titan Corp.,10,2021/02/20
Legion,313,3,Trade Station,15,2021/02/20
DUNE,11,3,Les Francaises,5,2021/02/20
DUNE,59,13,POCCNR,10,2021/02/20
Spacecrevards,142,78,ГОРИЗОНТ,15,2021/02/20
$TAR$,32,13,Fomorians Eire,10,2021/02/20
Kharon Shipping,205,32,Unimatrix Zero,10,2021/02/20
BlackStar Order,443,2,Red Coat Mafia,15,2021/02/17
Dark Skai,115,9,海賊ギルド,15,2021/02/17
Greener Pastures,7,78,DUNE,5,2021/02/16
InfamousExiles,99,17,GermanIndustrie,?,2021/02/16
DUNE,88,19,Star-Jump CORPS,10,2021/02/16
Watchers,248,17,KARI,15,2021/02/16
ГОРИЗОНТ,13,58,NOVA,10,2021/02/16
Imperial Armada,92,9,Death Flight,15,2021/02/16
HORNET,59,12,Path of Hades,10,2021/02/16
OntarioDynasty,124,26,Españoles,5,2021/02/15
Españoles,27,84,Watchers,10,2021/02/15
Furyan,130,115,W.O.A,15,2021/02/15
Hinterm Mond,184,25,TiesaFoundation,10,2021/02/15
Terranova,46,168,DadCorp,15,2021/02/15
Karanth,143,25,OntarioDynasty,10,2021/02/14
Sith Empire,30,71,Kyлak,15,2021/02/14
Trade Station,18,42,Topговая Федерация,10,2021/02/14
W.O.A,115,130,Furyan Corps.,15,2021/02/14
Kharon Shipping,210,3,DarkMoon,10,2021/02/13
Legion,562,1,Because Why Not,15,2021/02/13
Unimatrix Zero,56,46,NERF,10,2021/02/13
Wintercomes,248,22,COЮЗ,15,2021/02/13
Greener Pastures,8,85,Bastion,5,2021/02/13
$TAR$,85,45,Space bastards,10,2021/02/13
Imperium XIII,29,28,DISS LIGA,5,2021/02/13
Ender,58,25,Spacecrevards,15,2021/02/12
Final,314,0,龙门星团,15,2021/02/12
DUNE,154,7,JTPS,10,2021/02/11
Ender,161,29,UAGC,15,2021/02/11
BlackStar Order,472,0,USSC,15,2021/02/10
Imperial Armada,26,122,Embers Rising,15,2021/02/10
Dark Skai,71,19,Urban Legends,15,2021/02/10
Wintercomes,150,135,HORNET,15,2021/02/09
Hinterm Mond,393,7,Kyлak,15,2021/02/08
Karanth,61,31,EMP,5,2021/02/08
Terranova,169,178,BRhue,15,2021/02/08
Watchers,122,14,Kyлak,15,2021/02/08
Trade Station,42,165,Order of Hades,15,2021/02/08
W.O.A,7,31,Delta Strike,10,2021/02/08
DadCorp,42,22,ГОРИЗОНТ,5,2021/02/08
Kharon Shipping,212,8,Gulinga,10,2021/02/07
Legion,80,14,The Time Lords,5,2021/02/07
OntarioDynasty,66,29,POCCNR,10,2021/02/07
Unimatrix Zero,122,157,DadCorp,15,2021/02/07
$TAR$,60,32,LossFarm No. 648,10,2021/02/07
NERF,134,65,Hades Corpo,10,2021/02/06
Final,183,24,E.T.A,15,2021/02/06
Imperium XIII,86,9,Titan Corp.,10,2021/02/06
Rise Up,26,2,Tёmный Bиxpь,5,2021/02/06
Spacecrevards,278,12,Argentina 1.0,15,2021/02/05
System Shock,297,11,VoidCorp,15,2021/02/05
BlackStar Order,463,1,Toxic,15,2021/02/04
DUNE,7,14,42-Omatic Corp,5,2021/02/04
DUNE,126,46,BRhue,10,2021/02/04
Dark Skai,160,6,Avengers,15,2021/02/03
Yishun CC,12,6,ГОРИЗОНТ,5,2021/02/03
Sith Empire,160,60,Españoles,15,2021/02/02
Wintercomes,170,107,Argentina 1.0,15,2021/02/02
Hinterm Mond,66,47,The Time Lords,5,2021/02/01
Karanth,94,27,DadCorp,5,2021/02/01
Trade Station,104,66,Canadian Army,15,2021/02/01
Rise Up,43,0,Paиoн No 9,5,2021/02/01
Ender,94,80,ГОРИЗОНТ,15,2021/01/31
OntarioDynasty,66,126,Unimatrix Zero,10,2021/01/31
W.O.A,8,157,Order of Hades,15,2021/01/31
Spacecrevards,177,92,Final,,2021/01/30
Kharon Shipping,160,32,Team Elite,10,2021/01/30
System Shock,173,2,Dropbears Inc,5,2021/01/30
$TAR$,29,109,Red Coat Mafia,15,2021/01/30
NERF,56,49,For Ever HWI,5,2021/01/29
BlackStar Order,462,0,casual,15,2021/01/28
DUNE,39,16,Bastion,10,2021/01/28
Hades Corpo,144,18,Lost Legion,5,2021/01/28
Hades Corpo,52,17,EZCO,5,2021/01/28
Ender,246,173,SNSS,,2021/01/26
Hades Corpo,81,76,Unimatrix Zero,,2021/01/26
Wintercomes,147,99,TPYNRNR,15,2021/01/26
Dark Skai,152,28,First Squad,15,2021/01/26
InfamousExiles,134,41,ГОРИЗОНТ,10,2021/01/26
Hinterm Mond,242,281,Furyan,,2021/01/25
Spacecrevards,137,177,Kyлak,,2021/01/25
Trade Station,28,215,Karanth,15,2021/01/25
Order of Hades,167,65,Sith Empire,15,2021/01/24
Kharon Shipping,280,41,DadCorp,,2021/01/24
DadCorp,127,44,Final,,2021/01/24
Unimatrix Zero,140,31,TiesaFoundation,,2021/01/24
Spacecrevards,233,205,Tormenta,,2021/01/24
InfamousExiles,134,41,ГОРИЗОНТ,,2021/01/24
Auscorp,122,49,Gulinga,10,2021/01/24
Imperium XIII,29,17,EZCO,5,2021/01/24
W.O.A,38,28,United Galaxies,15,2021/01/24
Wintercomes,147,99,TPYNRNR,,2021/01/23
BlackStar Order,441,3,Farland Ind.,,2021/01/22
OntarioDynasty,39,150,InfamousExiles,,2021/01/20
Ender,186,128,VoidCorp,,2021/01/20
Spacecrevards,286,250,GermanIndustrie,,2021/01/19
Dark Skai,57,118,Space Penguins,15,2021/01/19
Team Elite,102,12,Greener Pastures,,2021/01/18
Kharon Shipping,238,50,TiesaFoundation,,2021/01/18
DUNE,23,21,kumzumir,5,2021/01/18
DUNE,129,43,The Star League,10,2021/01/18
Final,140,82,BRhue,10,2021/01/18
Trade Station,23,122,Terranova,15,2021/01/18
System Shock,394,17,Españoles,,2021/01/17
DadCorp,181,35,Furyan,,2021/01/17
Unimatrix Zero,460,28,Vendetta Squad,,2021/01/17
DadCorp,44,60,ГОРИЗОНТ,,2021/01/17
BlackStar Order,386,19,TPYNRNR,,2021/01/16
Auscorp,117,36,Wintercomes,,2021/01/16
Hades Corpo,80,18,EMP,5,2021/01/16
Imperium XIII,37,27,LOST PIRATES,5,2021/01/16
Ender,101,133,Yishun CC,,2021/01/14
Trade Station,73,164,Watchers,15,2021/01/12
Rise Up,25,7,Old Men Gaming,5,2021/01/12
Hinterm Mond,303,66,龙门训练营,15,2021/01/11
Imperium XIII,18,0,KARI,5,2021/01/11
Hinterm Mond,138,26,Final,,2021/01/10
InfamousExiles,63,44,Furyan,,2021/01/10
Kharon Shipping,58,73,InfamousExiles,,2021/01/10
OntarioDynasty,63,72,Sith Empire,,2021/01/10
EMP,173,78,Unimatrix Zero,,2021/01/09
Ender,112,75,Farland Ind.,,2021/01/08
Legion,48,30,Karanth,,2021/01/08
BlackStar Order,294,41,Wintercomes,,2021/01/08
Hades Corpo,117,42,Kyлak,,2021/01/07
Final,116,31,Sith Empire,10,2021/01/05
Kharon Shipping,138,43,EradicatorElite,,2021/01/04
Hinterm Mond,263,40,ГОРИЗОНТ,,2021/01/04
Wintercomes,148,52,Delta Strike,,2021/01/03
Ender,63,103,DadCorp,,2021/01/02
System Shock,158,180,Legion,,2021/01/02
BlackStar Order,210,47,OntarioDynasty,,2021/01/02
Ontario,51,180,Unimatrix Zero,,2021/01/02
Unimatrix Zero,103,32,Yishun CC,,2021/01/02
Españoles,24,23,Sith Empire,,2021/01/01
Españoles,20,28,Hinterm Mond,,2021/01/01
Españoles,33,22,Rogue Hero's,,2021/01/01
Sith Empire,196,40,Space Penguins,,2021/01/01
Españoles,5,38,The Time Lords,,2021/01/01
DadCorp,20,48,Weyland Corp,,2021/01/01
ГОРИЗОНТ,48,34,Wintercomes,,2021/01/01
Sith Empire,216,242,ГОРИЗОНТ,,2021/01/01
Sith Empire,41,51,ГОРИЗОНТ,,2021/01/01
Final,66,25,Furyan Corps.,15,2020/12/31
Hades Corpo,96,39,Bastion,,2020/12/30
Kharon Shipping,152,18,TheSpacingGuild,,2020/12/29
Hinterm Mond,230,13,GermanIndustrie,,2020/12/28
Wintercomes,146,23,Order of Hades,,2020/12/27
Legion,157,38,Salamanders,,2020/12/26
Unimatrix Zero,92,28,TiesaFoundation,,2020/12/26
BlackStar Order,248,9,DadCorp,,2020/12/25
Weyland Corp,99,32,Polish Pirates,,2020/12/25
Ender,68,97,Final,,2020/12/23
Wintercomes,102,23,Sternenflotte,,2020/12/22
Rise Up,26,23,Cool Casual,5,2020/12/22
BlackStar Order,213,34,Hinterm Mond,,2020/12/20
DadCorp,140,5,UAGC,,2020/12/20
Ender,52,14,Furyan,,2020/12/17
Hinterm Mond,99,76,The Time Lords,,2020/12/13
Unimatrix Zero,115,3,KARI,,2020/12/12
Wintercomes,61,27,POCCNR,,2020/12/12
Kharon Shipping,87,9,Topговая Федерация,,2020/12/12
DadCorp,127,4,TPYNRNR,,2020/12/12
System Shock,172,52,Weyland Corp,,2020/12/12
Unimatrix Zero,259,3,我有大氣球,,2020/12/11
Ender,102,27,Polaris,,2020/12/10
BlackStar Order,199,12,Watchers,,2020/12/08
Hinterm Mond,212,7,Farland Ind.,,2020/12/07
Spacecrevards,99,29,InfamousExiles,,2020/12/07
Wintercomes,67,13,Salamanders,,2020/12/06
Kharon Shipping,59,66,The Time Lords,,2020/12/06
Hades Corpo,81,76,Unimatrix Zero,,2020/12/05
Ender,75,29,Sith Empire,,2020/12/05
Unimatrix Zero,45,26,Hades Corpo,,2020/12/04
OntarioDynasty,21,117,Legion,,2020/12/04
BlackStar Order,190,3,Furyan,,2020/12/03
Hinterm Mond,102,27,Final,,2020/11/30
Wintercomes,74,49,Bastion,,2020/11/29
DUNE,53,39,NERF,,2020/11/29
Kharon Shipping,122,2,The Star League,,2020/11/29
System Shock,224,10,Wacky Wabbits,,2020/11/28
BlackStar Order,147,2,Spacecrevards,,2020/11/27
Legion,47,42,The Time Lords,,2020/11/27
Unimatrix Zero,48,20,Polaris,,2020/11/26
Ender,32,3,Phoenix Rising,,2020/11/25
Legion,73,31,DadCorp,,2020/11/22
Auscorp,77,6,Karanth,,2020/11/22
Kharon Shipping,150,10,KARI,,2020/11/22
Hinterm Mond,125,60,Sternenflotte,,2020/11/22
System Shock,186,2,Final,,2020/11/21
Spacecrevards,69,40,Phoenix Rising,,2020/11/20
