rank,corporation,rating,delta
~  ,华夏星海            ,864,0
 90,ROGUE ONE       ,863,0
~  ,第一序列            ,861,39
~  ,Peaky Blinders  ,861,0
~  ,Space Pirate    ,861,-7
~  ,SALTARDIS       ,860,0
~  ,UNSC            ,860,0
~  ,Abh             ,860,0
~  ,CommCody & LPA  ,860,0
 91,USA             ,860,0
~  ,West Worlders   ,860,0
 92,Deadspace       ,859,9
~  ,2nd Squad       ,859,0
~  ,Seila           ,859,0
~  ,深空补给港           ,859,0
~  ,Gummibarenbande ,859,0
~  ,The Picard      ,859,0
~  ,YETI Collective ,859,0
~  ,CTG             ,858,8
 93,FreeSpcAlliance ,858,0
~  ,Hipernova       ,858,0
~  ,Industrial W.O  ,858,0
~  ,Minutemen       ,858,0
~  ,lucky cats      ,856,0
 94,Star Jumpers    ,856,0
~  ,COЮЗ            ,856,0
~  ,Killer Shadow   ,855,-4
~  ,Variants        ,855,-7
~  ,Tycho Corp      ,855,-7
~  ,Jaggernaut      ,855,-7
~  ,Newbs           ,853,0
 95,Death Flight    ,853,-33
~  ,Space Balls     ,852,0
~  ,debutant fr     ,851,0
~  ,United Galaxies ,851,0
~  ,Ykp ihtpobeptn  ,851,-4
~  ,Ten Forward     ,851,0
~  ,Nebula          ,850,0
~  ,Wispered Storm  ,850,0
~  ,YAL             ,848,0
~  ,Glashan         ,848,-15
~  ,C'est pas faux! ,847,0
~  ,Providence      ,845,-14
~  ,Galactic gods   ,845,-5
~  ,Aepxaba Pycb    ,845,-8
~  ,CCCP 2.0        ,845,-5
~  ,지고 받자           ,845,0
~  ,Stella Glow     ,845,-5
~  ,Les Tilotest    ,844,-6
~  ,BRASIL STAR     ,844,-31
 96,Lacuna Ind.     ,844,-16
~  ,Lights Off      ,844,-7
 97,Rogue Corp      ,843,0
~  ,NERF TOY'S      ,843,0
~  ,Swiss Chillers  ,843,0
 98,Hydra           ,842,-1
~  ,RATAS           ,842,-8
 99,Dumpster Fire   ,842,0
~  ,No Orbit        ,842,0
~  ,ITA             ,842,0
~  ,TGY Inc.        ,841,0
~  ,CCCP            ,840,0
100,First Squad     ,839,-11
~  ,水星联合织           ,839,-11
101,CbrtbleHeroAhnkn,838,0
~  ,Sons of Liberty ,836,0
~  ,Rocket-Babies   ,836,0
~  ,GermanSpaceUno. ,835,-8
102,Sprite          ,834,-18
~  ,Madison Holding ,833,0
103,KARI            ,828,-3
~  ,PACCBET         ,827,-28
~  ,GDZ             ,825,0
104,Starsailors     ,825,-4
105,Astra Ultima    ,824,0
~  ,(_(_Vossk_)_)   ,823,-27
106,Path of Hades   ,816,31
107,Space Marine    ,809,-22
108,世外桃源            ,807,0
109,Solysis         ,779,0
