rank,corporation,rating,delta
127,Galactic gods     ,816,-13
~  ,Kriegsmarine      ,813,+13
~  ,NLB               ,813,+13
128,Bcenehckne 40%    ,812,-11
~  ,Spy Corp          ,812, -
129,우주미아              ,812, -
130,KARI              ,811,-10
~  ,North Star        ,811,+11
131,The Picard        ,811,-5
~  ,Russia            ,809, -
~  ,Space Marine      ,809, -
132,Death Flight      ,808, -
133,Dauntless         ,807,-33
~  ,Empire of Light   ,807, -
~  ,Lolis Corp        ,806, -
~  ,Starlancer        ,806, -
134,Stammtisch        ,805, -
~  ,代代守护你的神明          ,805, -
135,United Galaxies   ,804,-14
~  ,Game of Stars     ,800, -
~  ,Browncoats PVE    ,800,0
~  ,Nyhhbin Oehnkc    ,800, -
~  ,Sad Panda 2.0     ,800,0
~  ,冥犬哨兵              ,800, -
~  ,Core              ,798, -
136,Gwiezdna Horda    ,798,-124
~  ,Orion's Blade     ,797,-3
